,loan_amnt,funded_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,purpose,addr_state,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,loan_status
0,6000.0,6000.0, 36 ,0.0691,185.02,1.0,6 years,MORTGAGE,26400.0,Verified,2011.0,debt_consolidation,CA,9.27,0.0,0.0,2.0,0.0,1605.0,0.434,9.0,0.0
1,3000.0,3000.0, 36 ,0.1677,106.62,5.0,< 1 year,RENT,10800.0,Verified,2011.0,debt_consolidation,CA,8.89,0.0,1.0,2.0,0.0,2468.0,0.987,4.0,0.0
2,8400.0,8400.0, 36 ,0.0603,255.66,1.0,10+ years,MORTGAGE,50000.0,Not Verified,2011.0,debt_consolidation,TX,7.54,0.0,0.0,8.0,0.0,7029.0,0.149,16.0,1.0
3,10000.0,10000.0, 36 ,0.0751,311.11,1.0,9 years,MORTGAGE,32004.0,Verified,2010.0,other,AZ,0.0,0.0,0.0,7.0,0.0,0.0,0.0,13.0,1.0
4,5000.0,5000.0, 36 ,0.1435,171.74,3.0,< 1 year,RENT,16800.0,Source Verified,2010.0,debt_consolidation,CA,7.86,0.0,1.0,3.0,0.0,3562.0,0.937,10.0,1.0
5,3600.0,3600.0, 36 ,0.0849,113.63,1.0,1 year,RENT,30000.0,Not Verified,2011.0,credit_card,TX,20.32,0.0,1.0,15.0,0.0,2906.0,0.182,21.0,1.0
7,11000.0,11000.0, 60 ,0.1298,250.18,3.0,3 years,RENT,37000.0,Verified,2010.0,major_purchase,FL,13.98,0.0,0.0,3.0,0.0,0.0,0.5422,12.0,0.0
8,13000.0,13000.0, 36 ,0.0788,406.65,1.0,3 years,MORTGAGE,70400.0,Not Verified,2010.0,debt_consolidation,IL,19.72,0.0,3.0,14.0,0.0,9368.0,0.302,29.0,1.0
9,16800.0,16800.0, 36 ,0.0542,506.69,1.0,1 year,MORTGAGE,115000.0,Verified,2011.0,major_purchase,MN,4.98,0.0,1.0,17.0,0.0,67820.0,0.344,33.0,1.0
10,9950.0,9950.0, 60 ,0.1602,242.08,4.0,1 year,RENT,69096.0,Source Verified,2011.0,debt_consolidation,NC,7.16,0.0,1.0,24.0,0.0,3039.0,0.573,35.0,1.0
11,12900.0,12900.0, 60 ,0.1602,313.85,4.0,3 years,MORTGAGE,145000.0,Source Verified,2011.0,debt_consolidation,GA,10.89,0.0,1.0,16.0,0.0,11375.0,0.273,34.0,1.0
12,17500.0,17500.0, 36 ,0.0617,533.74,1.0,10+ years,MORTGAGE,41600.0,Verified,2011.0,home_improvement,FL,20.25,0.0,1.0,13.0,0.0,28986.0,0.312,28.0,1.0
13,11200.0,11200.0, 36 ,0.07139999999999999,346.52,1.0,9 years,MORTGAGE,46873.12,Not Verified,2010.0,debt_consolidation,NH,9.81,0.0,1.0,14.0,0.0,13868.0,0.15,35.0,1.0
15,10000.0,10000.0, 36 ,0.1223,333.25,3.0,< 1 year,RENT,44469.0,Verified,2010.0,debt_consolidation,MO,16.0,0.0,3.0,11.0,0.0,10157.0,0.47,34.0,0.0
16,19000.0,19000.0, 36 ,0.19039999999999999,696.89,6.0,5 years,MORTGAGE,78000.0,Not Verified,2010.0,other,GA,21.05,0.0,1.0,15.0,0.0,13528.0,0.89,29.0,0.0
